candidate_name,status,official_host_events_exact_fragment,notes
Innovation,generic_token_not_an_entity,0,Too generic to treat as an organization.
Innovation Space,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Innovera (nonprofit fiscally sponsored by Buckminster Fuller Institute),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Institute for Market Transformation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Institute for Progress,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Institute for Transportation & Development Policy,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Institutes for Planetary Health,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
International Aluminium Institute,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
International Livestock Research Institute (ILRI),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
International Network of Energy Transition Think Tanks,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Investment (SI3) Specialization,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Investors Circle & Microfinance,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
JLL,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Juliana Castaneda,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Jupiter Intelligence,has_corrected_profile,3,See company-research.csv
Jupiter Intelligence &amp,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
K&L Gates,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
LACI at BATWorks,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
LC3,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Light Hill Collaborative,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Lithuania,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
London,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Lonely Whale,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Los Angeles Cleantech Incubator (LACI),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Lower East Side Employment Network,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Lucas + Carroll,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Lucid Motors,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
L’EAUTELIER,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
MESH_ARTS in collaboration with BioBAT Art Space,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
MIT Alumni Energy,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
MIT Club of NY,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
MIT Sloan Club of NY,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Macdoch Foundation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Madison Energy Infrastructure,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
McKnight Foundation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Medical Society Consortium on Climate,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Metropolitan Abundance Project,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Michelman Robinson,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Milkywire,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Mitsubishi Electric,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Monarch Group,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Morningstar Sustainalytics,has_corrected_profile,1,See company-research.csv
Morrison Foerster,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Mothers Out Front,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Museum of the Moving Image,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Music Sustainability Alliance,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
NRDC,official_host_name,3,Appears as official host fragment on 3 event(s); not automatically a prospect.
NRDC (Natural Resources Defense Council),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
NY Climate Exchange,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
NY Hardware Meetup,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
NYC Department of Parks,official_host_name,3,Appears as official host fragment on 3 event(s); not automatically a prospect.
NYU Wagner Social Impact,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
NatH2Investing.com & Stinson LLP,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Natural Resources Defense Council,official_host_name,3,Appears as official host fragment on 3 event(s); not automatically a prospect.
Neste,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Nevada Clinicians for Climate Action,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
New York Energy Democracy Alliance,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
New York Passive House,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
New York Sea Grant,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
New York University,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
New York University School of Professional Studies Center for Global Affairs,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Nicolaas G. Pierson Foundation,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Novadaur,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
O Mundo Que Queremos,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Ocean Visions,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Open Environmental Data Project,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Open Planet Studios,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Organizing),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Oslo & Co,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Out for Sustainability (Out4S),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Oxfam,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Oxford University,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Partners,generic_token_not_an_entity,0,Too generic to treat as an organization.
Partnership for Carbon Accounting Financials (PCAF) & Deutsche Bank,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Pensa,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
PepsiCo,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Planet,generic_token_not_an_entity,0,Too generic to treat as an organization.
Planted Society,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Pledge 1%,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Policy,generic_token_not_an_entity,0,Too generic to treat as an organization.
Pratt Institute,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Pratt Institute Graduate Communications Design,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Precious Plastic NYC,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Project 17 Nigeria,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Project Everyone,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Protiviti,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Public Affairs,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Quinn+Partners,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
ReNew 2030,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Recreation,generic_token_not_an_entity,0,Too generic to treat as an organization.
Refrigerant Emissions Elimination Forum (REEF),official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Regional Plan Association,official_host_name,3,Appears as official host fragment on 3 event(s); not automatically a prospect.
Reproductive Health,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Resilient Red Hook,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Resource Justice Network,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Retro Report,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
SDG Action Campaign,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
SITELAB urban studio,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
SPECTRA Super Pollutant Elimination Alliance,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Said Business School,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Save the Waves,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
School of International,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Seedlings Collective,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Shift,generic_token_not_an_entity,0,Too generic to treat as an organization.
Shirley Chisholm State Park,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Society for Earth Law,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Solidarity Center,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
South Street Seaport Museum,official_host_name,2,Appears as official host fragment on 2 event(s); not automatically a prospect.
Southeast Sustainability Directors Network (SSDN) + New York University (NYU) Sc,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Sponsored By: American Geophysical Union,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Stacks+Joules,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Stakeholder Forum for a Sustainable Future,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Stanford University Doerr School of Sustainability,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Stockholm Business Region,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
Strong Roots,unresolved_name,0,Name only; original typed JSON with roles was not in this packet.
Support + Feed,official_host_name,1,Appears as official host fragment on 1 event(s); not automatically a prospect.
