canonical_name,legal_name,entity_type,category,website,hq,founded,stage,funding_summary,headcount,headcount_status,headcount_source,products,icp_fit,icp_notes,climate_relevance,icp_score,engagement,access,score_total,old_score,score_delta,disposition,profile_status,lane,nyc_presence,unknowns
Carbon Mapper,Carbon Mapper,nonprofit-data,Nonprofit satellite/airborne methane & CO2 MRV data,https://carbonmapper.org,"Pasadena, California, USA",2020,Nonprofit 501(c)(3),Philanthropic/donor (~$100M LinkedIn directory; Bloomberg Philanthropies $25M 2021),43 (LinkedIn); LeadIQ 11–50,estimate,LinkedIn 2026-09-10,Tanager satellite/airborne MRV and public data portal,partner,"Data producer/partner, not a commercial software buyer.",22,15,12,12,61,68,-7,partner_prospect,retained_corrected,B,hosts_official_event,None for host evidence (official host field is Carbon Mapper).
Kayrros,"Kayrros (acquired by Energy Aspects, 2026)",company-climate-software,Satellite environmental/energy intelligence,https://www.kayrros.com,"Paris, France",2016,Acquired — Energy Aspects completed May 2026,~$78M raised pre-acquisition (CB Insights),95 (LinkedIn),estimate,LinkedIn,Satellite environmental/energy intelligence,competitor,Competitor/data vendor; post-acquisition identity sits under Energy Aspects.,26,8,0,6,40,48,-8,competitor_watch,retained_corrected,B,none_known,None: zero official host/title hits.
Wood Mackenzie,Wood Mackenzie,company-research-data,Energy and natural-resources research/data,https://www.woodmac.com,"Edinburgh, Scotland, United Kingdom",,Private — PE-owned (Verisk acquisition history in prior profile),PE-owned information services,"~1,974 LinkedIn vs ~2,924 Revelio Mar 2026",estimate_conflict,Lane B Revelio/LinkedIn,Energy transition research and data,partner,Research/data partner. Speaker-org from prior artifact.,18,15,8,8,49,63,-14,partner_prospect,retained_corrected,B,speaker_claimed,Speaker not visible in official host/title; medium confidence.
BloombergNEF,Bloomberg New Energy Finance (Bloomberg L.P. division),research-division,Energy-transition research/data,https://about.bnef.com,"London, UK (parent Bloomberg L.P. in New York)",,Division of private Bloomberg L.P.,Wholly owned research division,unknown (division; parent employees are not BNEF headcount),unknown,not published in prior profile,Energy transition research and data,partner,Research partner. Parent NYC presence is not automatic BNEF attendance.,20,15,6,14,55,65,-10,partner_prospect,retained_corrected,B,parent_nyc,"Speaker affiliation is from an event description, not the 70-speaker list."
Ember,Ember,nonprofit-data,Energy/climate data think tank,https://ember-energy.org,"London, United Kingdom",,Nonprofit,Not-for-profit think tank,75 LinkedIn; ~80 in an Aug 2025 job ad,estimate,Lane B,Open electricity data and policy analysis,partner,Data partner. Not a Media Partner (prior discrepancy).,20,15,8,10,53,62,-9,partner_prospect,retained_corrected,B,speaker_claimed,"Speaker from prior speakers artifact, medium confidence."
STX Group,STX Group,company-environmental-markets,Environmental commodities trading and corporate climate solutions,https://stxgroup.com,"Amsterdam, Netherlands",,Private,Privately held; no listed round in prior profile,407 (LinkedIn),estimate,LinkedIn company page,Environmental markets / market-based decarbonization instruments,buyer,Markets firm that may buy data/software; hosts two official public events.,16,20,14,12,62,67,-5,buyer_prospect,retained_corrected,B,hosts_official_event,None for host evidence.
Crux Climate,Crux Climate Inc. (dba Crux),company-climate-fintech,Climate fintech / transferable clean-energy tax-credit marketplace,https://www.crux.com,"New York, NY / Washington, D.C. (directories disagree on primary)",2023,Private — Series B (Apr 2025),"~$72M+ disclosed (seed extension, a16z Series A, $50M Series B Lowercarbon)",91 LinkedIn vs ZoomInfo 11–50,estimate_conflict,LinkedIn ~Jun 2026; directories disagree,Marketplace/software for IRA transferable tax credits and project-finance tooling,partner,Channel/ecosystem partner to developers and tax-credit buyers; light direct software buyer.,26,15,0,16,57,77,-20,partner_prospect,retained_corrected,C,nyc_presence,"No verified Climate Week host, sponsor, or speaker. Prior 77 score was a false merge with Crux Alliance."
Crux Alliance,Crux Alliance,nonprofit-policy,Philanthropic/policy network (not Crux Climate Inc.),https://cruxalliance.org,unknown,,Nonprofit / coalition,unknown,unknown,unknown,,Policy/network events; not climate software,other,Not a customer or climate-software peer. Hosts 7 official Climate Week events.,4,0,16,14,34,,,not_a_prospect,added_identity_correction,C-correction,hosts_official_event,No company profile was originally researched; identity restored from official hosts.
Octopus Energy Group / Kraken Technologies,Octopus Energy Group / Kraken Technologies,company-energy-tech,Retail energy plus Kraken utility operating-system SaaS,https://octopusenergy.com,"London, United Kingdom",2015 / Kraken 2017,Private (Octopus unicorn; Kraken spun out Dec 2025 per prior profile),Group multi-billion raised; Kraken $1bn round Dec 2025 at $8.65bn (prior profile),"Octopus Energy Ltd ~5,491 Revelio Mar 2026; Kraken ~2,000 Wikipedia; group aggregates differ",estimate_conflict,Lane C; do not treat as a single headcount,Retail energy; Kraken utility OS licensed to utilities,partner,Partner/channel into utilities with in-house energy software overlap.,18,12,0,8,38,50,-12,adjacent_partner,retained_corrected,C,none_in_official_host_title,Lane C description mentions are not in official host/title; engagement 0 this revision.
Scale AI,"Scale AI, Inc.",company-ai-data,AI data labeling/evaluation — not a climate company,https://scale.com,"San Francisco, California, USA",2016,"Private, late-stage (Meta 2025 investment in prior profile)",Series F $1B May 2024 plus later Meta investment (prior profile),"~1,200 full-time approximation; contractor-inclusive counts are much higher",estimate_conflict,Lane C JobsByCulture/Business Insider vs Revelio/LinkedIn,"AI data foundry, evaluation, RLHF",weak-fit,Not a climate-software buyer. Phrase matches are not participation.,2,3,0,10,15,55,-40,not_a_prospect,retained_corrected,C,none_known,None for Climate Week: no host/sponsor/speaker.
CoreWeave,"CoreWeave, Inc.",company-ai-infrastructure,GPU cloud / AI data-center operator,https://www.coreweave.com,"Livingston, New Jersey, USA",2017,Public — Nasdaq: CRWV,IPO Mar 2025; large pre-IPO debt/equity (prior profile),"2,189 employees as of 2025-12-31 (FY2025 10-K via prior profile)",company_reported,SEC 10-K cited in lane C,NVIDIA GPU cloud and AI data centers,buyer,Energy-intensive AI infra buyer of grid/carbon/PPA tooling. Not climate software.,10,22,8,14,54,,,buyer_prospect,retained_corrected,C,nj_hq_speaker_claimed,"Speaker from prior speakers artifact, medium confidence. icp “strong-buyer” in lane C is retained as buyer with high ICP points, not a guaranteed deal."
Ambrook,Ambrook,company-ag-fintech,Agricultural finance / farm accounting SaaS,https://ambrook.com,"New York, NY, USA",2020,Private — Series B (Aug 2026),~$59M disclosed (Series A + $30M Series B),53 PitchBook (may lag Series B hiring),estimate,PitchBook in lane C,Farm/ranch financial management,partner,Weak buyer of climate software; NYC community host. Two official hosted parties.,8,8,12,18,46,58,-12,adjacent_partner,retained_corrected,C,nyc_hq_hosts_official_event,None for host evidence.
Sunrun,Sunrun Inc.,company-residential-solar,Residential solar + storage,https://www.sunrun.com,"San Francisco, California, USA",2007,Public — Nasdaq: RUN,Public; FY2025 10-K cited in lane C,"9,059 employees as of 2025-12-31 (10-K)",company_reported,Sunrun FY2025 10-K,"Residential solar, storage, VPP",buyer,Credible buyer of energy/data/reporting tools; also builds software in-house.,14,20,4,12,50,63,-13,buyer_prospect,retained_corrected,C,unverified_affiliated_programming,Official host/title inventory does not contain “Sunrun”. Lane C presenting-sponsor claim left low-confidence; only 4 engagement points.
Voltera,"Voltera Power / EvConneX, LLC",company-energy-infrastructure,EV charging and fleet energy infrastructure (EQT-backed),https://www.volterapower.com,"Culver City / Los Angeles, California, USA",2022,Private — PE-backed (EQT Infrastructure); 2026 combination with Revel announced,EQT-backed development capital; ~$100M directory citations are not company-reported,~44 LinkedIn Jun 2026; may understate post-Revel combination,estimate,LinkedIn volterapower,Fleet/autonomous EV charging hubs and energy infrastructure,buyer,Infrastructure buyer of grid/energy/uptime software — not a climate-SaaS vendor.,14,20,24,14,72,82,-10,buyer_prospect,retained_corrected,C,featured_official_session,Thematic Session Partner from prior sponsors artifact (medium). Title+speaker evidence is high.
Google,Alphabet Inc. / Google,company-hyperscaler,Hyperscale cloud + AI; also sells some sustainability tooling,https://abc.xyz,"Mountain View, California, USA",1998,Public — Nasdaq: GOOGL / GOOG,Public mega-cap,"190,820 FY2025 (Alphabet 10-K via prior profile) — parent, not a climate division count",parent_company_reported,Alphabet FY2025 10-K,"Google Cloud, Carbon Footprint, Earth Engine, etc.",competitor,Competitor in cloud sustainability tooling; possible energy-data buyer for data centers. Not a classic climate-software prospect.,16,8,0,8,32,58,-26,competitor_watch,retained_corrected,C,none_confirmed,No official host/title participation. Prior 5 mentions were generic/adversarial.
Microsoft,Microsoft Corporation,company-hyperscaler,Hyperscale cloud + Microsoft Cloud for Sustainability,https://www.microsoft.com/en-us/sustainability,"Redmond, Washington, USA",1975,Public — Nasdaq: MSFT,Public mega-cap,"~228,000 FY2025 (prior profile compilations of 10-K)",parent_company_reported,Lane C 10-K compilations,Azure; Microsoft Sustainability Manager / Cloud for Sustainability,competitor,Direct competitor in sustainability software; marketplace/channel possible.,18,8,0,8,34,,,competitor_watch,split_from_google_entry,C,unverified_description_only,Lane C description/venue claims not in official host/title; engagement 0 this revision.
