entity,relation_type,confidence,event_title,event_date,event_type,event_format,matched_host_fragment,host_field,source_url,evidence
Climate Group,official_host,high,Hiding in plain sight: the conventional materials that will scale the clean economy,20260922,,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/hiding-in-plain-sight-the-conventional-materials-that-will-scale-the-clean-economy?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,From “Listen to the Science” to the “Science of Listening?” How better storytelling has made climate great again,20260922,,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/from-listen-to-the-science-to-the-science-of-listening-how-better-storytelling-has-made-climate-great-again?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,"Climate, security, and America’s place in a shifting world",20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/climate-security-and-americas-place-in-a-shifting-world?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,"Emerging markets, electric futures: how do we unlock the best deal for the  Global South?",20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/emerging-markets-electric-futures-how-do-we-unlock-the-best-deal-for-the-global-south?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Moving US forward for climate,20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/moving-us-forward-for-climate?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,"Future factories: How efficiency, electrification and AI will remake modern manufacturing",20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/future-factories-how-efficiency-electrification-and-ai-will-remake-modern-manufacturing?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Scaling low-carbon growth – winning in a volatile world,20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/scaling-low-carbon-growth-winning-in-a-volatile-world?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,"Climate as growth: how to communicate opportunity, not cost",20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/climate-as-growth-how-to-communicate-opportunity-not-cost?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,The AI Forum: Scaling sustainable infrastructure,20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/the-ai-forum-scaling-sustainable-infrastructure?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,How to change the world: with Special Guest,20260922,,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/how-to-change-the-world-with-special-guest?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Ambrook,official_host,high,Sweater Party,20260922,,In-person,Ambrook,Ambrook,https://www.climateweeknyc.org/event-search/sweater-party?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Ambrook.
STX Group,official_host,high,Unlocking Value Chain Decarbonization with Market-Based Instruments,20260922,Public,In-person,STX Group,STX Group and CRS,https://www.climateweeknyc.org/event-search/unlocking-value-chain-decarbonization-with-market-based-instruments?hsLang=en,Official Climate Week NYC 2026 event-search host field lists STX Group.
Crux Alliance,official_host,high,"Meet the ""Wonks"" Behind the Wins: A Networking Happy Hour",20260922,Public,In-person,Crux Alliance,"Crux Alliance, ReNew 2030, Global Grids Catalyst, and Growald Climate Fund",https://www.climateweeknyc.org/event-search/meet-the-wonks-behind-the-wins-a-networking-happy-hour?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Crux Alliance.
STX Group,official_host,high,What’s Next for Data Center Decarbonization? Navigating the Many Facets to Reach Net Zero in a Volatile Market,20260922,Public,In-person,STX Group,STX Group and iMasons Climate Accord,https://www.climateweeknyc.org/event-search/whats-next-for-data-center-decarbonization-navigating-the-many-facets-to-reach-net-zero-in-a-volatile-market?hsLang=en,Official Climate Week NYC 2026 event-search host field lists STX Group.
Crux Alliance,official_host,high,Super Pollutants to Super Solutions: Targeting Diesel Black Carbon for Climate and Health Benefits,20260922,Public,In-person,Crux Alliance,Crux Alliance and The International Council on Clean Transportation,https://www.climateweeknyc.org/event-search/super-pollutants-to-super-solutions-targeting-diesel-black-carbon-for-climate-and-health-benefits?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Crux Alliance.
Crux Alliance,official_host,high,From Evidence to Impact: Communicating the Case for Smart Policy,20260922,Public,In-person,Crux Alliance,Crux Alliance and The International Council on Clean Transportation,https://www.climateweeknyc.org/event-search/from-evidence-to-impact-communicating-the-case-for-smart-policy?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Crux Alliance.
Crux Alliance,official_host,high,Win-Win Policies: Unlocking Investment for a Sustainable Future,20260922,Public,In-person,Crux Alliance,"Crux Alliance, Institute for Transportation & Development Policy, CLASP, The International Council on Clean Transportation, and GBPN",https://www.climateweeknyc.org/event-search/win-win-policies-unlocking-investment-for-a-sustainable-future?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Crux Alliance.
Crux Alliance,official_host,high,Resisting the Easy Fix: The Limits of Coal as a National Response to Geopolitical Shifts,20260922,Public,In-person,Crux Alliance,"Crux Alliance, Forum Energii, and International Network of Energy Transition Think Tanks",https://www.climateweeknyc.org/event-search/resisting-the-easy-fix-the-limits-of-coal-as-a-national-response-to-geopolitical-shifts?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Crux Alliance.
Climate Group,official_host,high,Tackling Health Care's Emissions,20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/tackling-health-cares-emissions?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,"Clean Air, Healthy Returns: The Economic and Health Case for Fleet Electrification",20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/clean-air-healthy-returns-the-economic-and-health-case-for-fleet-electrification?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Carbon Mapper,official_host,high,From Finding to Fixing: Accelerating Action on Methane Super-Emitters,20260922,Public,In-person,Carbon Mapper,Carbon Mapper,https://www.climateweeknyc.org/event-search/from-finding-to-fixing-accelerating-action-on-methane-super-emitters?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Carbon Mapper.
Climate Group,official_host,high,24/7 CFE Solutions Accelerator Workshop,20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/247-cfe-solutions-accelerator-workshop?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,"Shifting distributed energy policy, maximizing speed, demand and affordability",20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/shifting-distributed-energy-policy-maximizing-speed-demand-and-affordability?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Climate Group,official_host,high,Trust by Design: Protecting Climate Information in the Age of AI”;a closed-door executive roundtable,20260922,Private,In-person,Climate Group,Climate Group,https://www.climateweeknyc.org/event-search/trust-by-design-protecting-climate-information-in-the-age-of-aia-closed-door-executive-roundtable?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Climate Group.
Antenna Group,official_host,high,Antenna House: The Value Transition,20260923,Public,In-person,Antenna Group,Antenna Group,https://www.climateweeknyc.org/event-search/antenna-house-the-value-transition-presented-by-sunrun-powered-by-antenna-group?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Antenna Group.
Ambrook,official_host,high,Corn Party,20260923,,In-person,Ambrook,Ambrook,https://www.climateweeknyc.org/event-search/corn-party?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Ambrook.
Antenna Group,official_host,high,"The State of Climate Storytelling, Featuring Financial Times, Washington Post and Canary Media",20260923,Public,In-person,Antenna Group,Antenna Group,https://www.climateweeknyc.org/event-search/the-state-of-climate-storytelling-featuring-financial-times-washington-post-and-canary-media?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Antenna Group.
Jupiter Intelligence,official_host,high,Beyond the Heat Map: How Leading Investors Are Building Climate-Resilient Portfolios,20260923,Private,In-person,Jupiter Intelligence,Jupiter Intelligence & Impax Asset Management,https://www.climateweeknyc.org/event-search/beyond-the-heat-map-how-leading-investors-are-building-climate-resilient-portfolios?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Jupiter Intelligence.
Impax Asset Management,official_host,high,Beyond the Heat Map: How Leading Investors Are Building Climate-Resilient Portfolios,20260923,Private,In-person,Impax Asset Management,Jupiter Intelligence & Impax Asset Management,https://www.climateweeknyc.org/event-search/beyond-the-heat-map-how-leading-investors-are-building-climate-resilient-portfolios?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Impax Asset Management.
Crux Alliance,official_host,high,From Gridlock to Grid-Ready: A Coordinated Path to 35-by-35,20260923,Public,In-person,Crux Alliance,Crux Alliance and Global Grids Catalyst,https://www.climateweeknyc.org/event-search/from-gridlock-to-grid-ready-a-coordinated-path-to-35-by-35?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Crux Alliance.
Antenna Group,official_host,high,Trophy Assets Don't Need Saving. Everything Else Does.,20260923,Public,In-person,Antenna Group,Antenna Group,https://www.climateweeknyc.org/event-search/trophy-assets-dont-need-saving-everything-else-does?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Antenna Group.
Antenna Group,official_host,high,Where Sustainability Meets Storytelling,20260923,Public,In-person,Antenna Group,Antenna Group,https://www.climateweeknyc.org/event-search/where-sustainability-meets-storytelling?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Antenna Group.
SAP,official_host,high,Everyone's Reporting Climate Risk. Who's Deciding? From Disclosed Risk to Defended Assets,20260923,Private,In-person,SAP,SAP & Jupiter Intelligence,https://www.climateweeknyc.org/event-search/everyones-reporting-climate-risk-whos-deciding-from-disclosed-risk-to-defended-assets?hsLang=en,Official Climate Week NYC 2026 event-search host field lists SAP.
Jupiter Intelligence,official_host,high,Everyone's Reporting Climate Risk. Who's Deciding? From Disclosed Risk to Defended Assets,20260923,Private,In-person,Jupiter Intelligence,SAP & Jupiter Intelligence,https://www.climateweeknyc.org/event-search/everyones-reporting-climate-risk-whos-deciding-from-disclosed-risk-to-defended-assets?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Jupiter Intelligence.
Antenna Group,official_host,high,The Customer-First Path to Powering AI,20260923,Public,In-person,Antenna Group,Antenna Group,https://www.climateweeknyc.org/event-search/ai-needs-power-whats-in-it-for-american-families?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Antenna Group.
Crux Alliance,official_host,high,Powering Prosperity: Equitable Policy Design in the Global South,20260923,Public,In-person,Crux Alliance,"Crux Alliance, e+ Energy Transition Institute, CLASP, and GBPN",https://www.climateweeknyc.org/event-search/powering-prosperity-equitable-policy-design-in-the-global-south?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Crux Alliance.
Antenna Group,official_host,high,"AI Needs More Power. Who Builds It, What Gets Built, and Who Gets Paid?",20260923,Public,In-person,Antenna Group,Antenna Group,https://www.climateweeknyc.org/event-search/ai-needs-more-power-who-builds-it-what-gets-built-and-who-gets-paid?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Antenna Group.
Antenna Group,official_host,high,The Race to Build the Next Generation City: A Conversation with Voltera CEO Frank Reig,20260923,Public,In-person,Antenna Group,Antenna Group,https://www.climateweeknyc.org/event-search/the-race-to-build-the-next-generation-city-a-conversation-with-voltera-ceo-frank-reig?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Antenna Group.
Voltera,featured_in_title,high,The Race to Build the Next Generation City: A Conversation with Voltera CEO Frank Reig,20260923,Public,In-person,,Antenna Group,https://www.climateweeknyc.org/event-search/the-race-to-build-the-next-generation-city-a-conversation-with-voltera-ceo-frank-reig?hsLang=en,"Official event title names Voltera CEO Frank Reig; host is Antenna Group, not Voltera."
Guidehouse,official_host,high,Powering Industrial Decarbonization: Accelerating Electrification through Partnerships,20260923,Private,In-person,Guidehouse,"AFID,Coalition for Action and Guidehouse",https://www.climateweeknyc.org/event-search/powering-industrial-decarbonization-accelerating-electrification-through-partnerships?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Guidehouse.
Antenna Group,official_host,high,Shaping the Data Center Narrative,20260923,Public,In-person,Antenna Group,Antenna Group,https://www.climateweeknyc.org/event-search/shaping-the-data-center-narrative?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Antenna Group.
Arcadis,official_host,high,Affordable Resilience: Turning Climate Risk into Long-Term Value Through Adaptation and Investment,20260924,Private,In-person,Arcadis,Arcadis & Jupiter Intelligence,https://www.climateweeknyc.org/event-search/affordable-resilience-turning-climate-risk-into-long-term-value-through-adaptation-and-investment?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Arcadis.
Jupiter Intelligence,official_host,high,Affordable Resilience: Turning Climate Risk into Long-Term Value Through Adaptation and Investment,20260924,Private,In-person,Jupiter Intelligence,Arcadis & Jupiter Intelligence,https://www.climateweeknyc.org/event-search/affordable-resilience-turning-climate-risk-into-long-term-value-through-adaptation-and-investment?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Jupiter Intelligence.
Moody's,official_host,high,Resilience at scale: from risk data to real decisions,20260924,Private,In-person,Moody's,Moody's,https://www.climateweeknyc.org/event-search/resilience-at-scale-from-risk-data-to-real-decisions?hsLang=en,Official Climate Week NYC 2026 event-search host field lists Moody's.
Polecat,official_sponsor,medium,,,,,,,https://www.climateweeknyc.org/sponsors-and-partners,Prior cw-sponsors-partners-raw.json listed Polecat as Impact Partner. Not re-downloaded in this revision; not present as an official event host.
UL Solutions,official_sponsor,high,,,,,,,https://www.climateweeknyc.org/sponsors-and-partners,Climate Group LinkedIn 2026-08-13 named UL Solutions in the first Silver Partner cohort; prior artifact listed Silver Partner.
Salesforce,official_sponsor,high,,,,,,,https://www.climateweeknyc.org/sponsors-and-partners,Climate Group LinkedIn 2026-08-13 named Salesforce in the first Silver Partner cohort; prior artifact listed Silver Partner.
Apolitical,official_sponsor,medium,,,,,,,https://www.climateweeknyc.org/sponsors-and-partners,Prior cw-sponsors-partners-raw.json listed Apolitical as Thematic Session Partner. Not an official event host.
Voltera,official_sponsor,medium,,,,,,,https://www.climateweeknyc.org/sponsors-and-partners/voltera,Prior cw-sponsors-partners-raw.json listed Voltera as Thematic Session Partner with a sponsor page path.
Voltera,official_speaker_org,high,The Race to Build the Next Generation City: A Conversation with Voltera CEO Frank Reig,20260923,,,,Antenna Group,,"Official event title plus prior cw-speakers-raw.json entry for Frank Reig, CEO, Voltera."
CoreWeave,official_speaker_org,medium,,,,,,,,"Prior cw-speakers-raw.json listed Heather McGeory, VP Energy and Sustainability, CoreWeave among 70 official speakers. Not an official event host in the 838-row inventory."
Ember,official_speaker_org,medium,,,,,,,,"Prior cw-speakers-raw.json listed Daan Walter, Principal, Ember. Ember is not an official event host. Media Partner claim was a prior discrepancy and is not reused."
Wood Mackenzie,official_speaker_org,medium,,,,,,,,"Prior cw-speakers-raw.json listed Ed Crooks, Vice Chair Americas, Wood Mackenzie. Not an official event host."
Salesforce,official_speaker_org,medium,,,,,,,,Prior lane A reported SVP of Impact Sunya Norman as a main-program speaker from cw-speakers-raw.json. Not re-fetched here.
Jupiter Intelligence,official_speaker_org,high,Everyone's Reporting Climate Risk. Who's Deciding? From Disclosed Risk to Defended Assets,20260923,Private,,Jupiter Intelligence,SAP & Jupiter Intelligence,,Lane B reported CEO Rich Sorkin as a listed speaker on a Jupiter-hosted official event.
Sunrun,affiliated_presenting_sponsor_unverified_in_host_title,low,Antenna House: The Value Transition,,,,,Antenna Group,,Lane C reported Antenna House programming “Presented by Sunrun” from event descriptions. The official 838-row host/title inventory lists Antenna Group only and does not contain the string Sunrun. Not promoted to confirmed host/sponsor.
BloombergNEF,speaker_affiliation_in_event_text,medium,Powering AI: who wins when demand outpaces the grid?,,Private,,,,,"Lane B: Stephanie Diaz, BloombergNEF, listed in an event description. BNEF is not in the 70-speaker artifact as a standalone org and is not an official host."
Microsoft,unverified_description_participation,low,,,,,,,,Lane C reported Microsoft partnership/speaker/venue mentions in event descriptions. None appear in official host or title fields. Not scored as confirmed engagement.
