record_id,origin,title,date_local,time_local,timezone,venue,neighborhood,borough,host,official_url,registration_url,source_calendars,format,net_signal,icp_score,icp_fit_rationale,confirmed_people_orgs,target_audience,price_currency,access_requirements,observed_registration_status,observation_time,rank_score,rank_tier,remaining_uncertainty,slug,official_desc_snippet,networking_evidence,evidence_level,desc_has_commercial,priority_rank
CW-0052,official-838,"Driving the Future of Climate Action: A Network USA, NYC Climate Week Convening",2026-09-21,04:00pm-06:00pm,America/New_York (assumed; NYC listing),United States,,,United Nations Global Compact Network USA,https://www.climateweeknyc.org/event-search/driving-the-future-of-climate-action-a-network-usa-nyc-climate-week-convening?hsLang=en,https://forms.office.com/r/9AZz6pyNpi,climateweeknyc.org/event-search (official),In-person,strong,8,built world / data centers / real estate; energy / grid / power markets; software / data / AI infrastructure  [secondary: cities / urban systems; transport / mobility],,Not stated on official listing (unverified),unknown,Private event on official directory; eligibility not inferred,"Registration availability not observed; Private event (official page, 2026-09-10)",2026-09-10 (this pass),10,Strong-qualified,Registration status/price/eligibility not verified.,driving-the-future-of-climate-action-a-network-usa-nyc-climate-week-convening,"04:00pm - 06:00pm, Monday, September 21, 2026 United States Private event Register now As climate change accelerates, so too must the pace and scale of innovation. U.S. companies have long been at the forefront of innovative climate solutions. Today, that innovation encompasses not only technology, but also new ways of thinking, from business models and investment frameworks to cross-sector collaborations that challenge traditional ways of doing business. Driving the Future of Climate Action wil",demo,primary-page (official description parsed 2026-09-10),yes,11
ECO-mgw71g15,ecosystem-luma,The Future of Data Centers: Technologies to Change the Paradigm,2026-09-23,13:00–15:00,America/New_York,Chelsea (obfuscated),,,MIT Climate Project,,https://luma.com/mgw71g15,Luma public search (query: energy data center),data-center/tech,medium,7,data-center/tech,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,8,Strong-qualified,Registration status/eligibility not fully verified.,mgw71g15,"Data centers are at an inflection point, facing interconnected technical, operational, economic, and community constraints that demand cross-sector dialogue and innovation. The program will feature presentations from MIT researchers and spinouts developing technologies that will reshape the future of data centers, followed by a panel discussion exploring the sector’s most pressing opportunities and challenges.
The session will also bring together a panel of leaders from technology, infrastructure, capital, and policy to explore how a systems approach can reveal pathways to reshape data center ",connect,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,12
ECO-1zcptbcu,ecosystem-luma,The Invisible Crisis: Innovating for the Age of Extreme Heat,2026-09-24,12:00–16:00,America/New_York,"The Biome (SOSV), 7 Penn Plaza",Midtown,,"Campus Deep Tech, Anywhere Ventures, The Hazelwood Network",,https://luma.com/1zcptbcu,SOSV hub (sosv.com/join-sosv-at-climate-week-nyc-2026),Curated roundtable / reverse pitches,medium,7,Curated roundtable / reverse pitches,"Campus Deep Tech, Anywhere Ventures, The Hazelwood Network; reverse-pitch format.",Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Waitlist; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,8,Strong-qualified,Registration status/eligibility not fully verified.,1zcptbcu,"Campus Deep Tech, Anywhere Ventures, The Hazelwood Network, and Tailwind Futures are bringing together a curated group of startups, investors, industry leaders, and academics during Climate Week NYC to explore the mounting challenges posed by extreme heat globally and novel technologies being developed to help people and industries adapt.
Why Attend:
Discover breakthrough technologies
Engage directly with innovators working at the frontier of extreme heat resilience and cooling technologies
Identify investment and partnership opportunities
Become part of the region's growing deep tech ecosyste",network,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,13
ECO-ek5kwae4,ecosystem-luma,"The Energy Transition Deferred: Dr. Jesse Jenkins (SOSV, In-Person)",2026-09-24,18:00–20:00,America/New_York,Manhattan (obfuscated),,,SOSV,,https://luma.com/ek5kwae4,Luma public search (query: energy data center),energy-research/vc,medium,6,energy-research/vc,Dr. Jesse Jenkins (Princeton).,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,7,Qualified,Registration status/eligibility not fully verified. Also on official directory (row CW-0602) but not auto-qualified by the theme/format filter; retained on ecosystem evidence.,ek5kwae4,"The AI buildout has a bottleneck, and it isn't chips. It's power. Interconnection queues stretch for years, deals get signed under NDAs, and roughly 70% of Americans now oppose data centers in their own communities, with opposition crossing party lines. The energy transition everyone was promised keeps getting deferred by the race to feed the models.
Yet new Princeton research points to an escape hatch. A 500-megawatt data center able to flex its grid demand for less than 1% of the year can reach full operation three to five years sooner than one that can’t. Jesse Jenkins floated exactly that ",connect,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,14
ECO-ope4jako,ecosystem-luma,Clean Energy x Data Center Happy Hour,2026-09-24,17:30–19:30,America/New_York,Manhattan (obfuscated),,,Dennis Cha,,https://luma.com/ope4jako,Luma public search (query: energy data center),data-center/networking,strong,7,data-center/networking,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Waitlist; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,9,Strong-qualified,Registration status/eligibility not fully verified.,ope4jako,come hang out with cool people working on clean energy and data center power!,,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,15
ECO-gtealoor,ecosystem-luma,Climate Week Kickoff Summit: Decarbonizing Real Estate,2026-09-17,08:00–15:30,America/New_York,Perkins Eastman,,,"Scott Donachie, Muuku, Gustavo & Vitor",,https://luma.com/gtealoor,ClimateTechList calendar (lu.ma/climate-week),Summit,strong,7,Summit,,Not stated (unverified),USD 500.00 (listed paid ticket; check ticket-specific conditions),Ticket-specific: USD 500 non-member ticket is listed without approval; free speaker/member categories require approval. Confirm selected ticket availability; no admission guarantee.,Registration open; approval depends on ticket category (Luma primary page),2026-09-10T22:13:01.474475+00:00,9,Strong-qualified,"Registration status/eligibility not fully verified. Earlier blanket sold-out label was incorrect: a speaker ticket name contained ""sold out""; event-level primary registration state is open.",gtealoor,"Summit Agenda
Decarbonizing NYC Buildings: Compliance, Capital & Technology
9:00 AM – 9:10 AM
Welcome & Opening Remarks: Setting the Stage for Deep Decarbonization
Speakers:
Alkis Klimathianos, Co-Managing Principal, Perkins Eastman Linkedin
9:10 AM – 9:50 AM
Navigating NYC Building Compliance and Decarbonization
Building decarbonization roadmaps, compliance planning, financing electrification, state incentives, and grid readiness.
Moderator: Jordana Viuker, Senior Associate, Perkins Eastman
Lindsay Robbins, Senior Director of Market Innovation & Sustainability, Community Preservation Corporat",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,16
ECO-fd2ac3lo,ecosystem-luma,2026 Venture For ClimateTech Innovation Showcase,2026-09-21,11:00–15:00,America/New_York,Newlab,Brooklyn Navy Yard,Brooklyn,Venture For ClimateTech / Newlab,,https://luma.com/fd2ac3lo,CTVC/Currence/Planeteer NYCW guide (luma.com/nycwguide2026) + prior shortlist,Expo / Demo,strong,7,Expo / Demo,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,9,Strong-qualified,Registration status/eligibility not fully verified.,fd2ac3lo,"We’re kicking off Climate Week NYC with an exciting event featuring the latest climate technology solutions. Join the For ClimateTech team at Newlab for an immersive day of pitches, panels, and networking opportunities, bringing together over 100 innovators, investors, industry leaders, hardware experts, manufacturers, and more to showcase the latest advancements in climate technology.
Hear from 10 innovators from Venture For ClimateTech (V4C)'s 6th Cohort who are developing climate solutions across four key sectors: Buildings, Transportation, the Grid, and Industry.
We invite you to come lear","Primary event description: immersive day of pitches, panels, and networking opportunities.",ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,17
ECO-aec93244,ecosystem-luma,(pre)NY Climate Week Founder Speed Matching,2026-09-18,08:30–10:30,America/New_York,,East Village,,C2FM (Climate Co-Founder Matching),,https://luma.com/aec93244,CTVC guide (luma.com/nycwguide2026),Networking / speed matching,strong,6,Networking / speed matching,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Registration open; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,8,Strong-qualified,Registration status/eligibility not fully verified.,aec93244,"Looking for a co-founder to build a climate startup with? C2FM's founder speed matching format is going NYC-wide for the first time.
Here's how it works:
You'll apply by answering a few quick questions, and C2FM's founder matching algorithm will decide who you are most compatible with as a co-founder.
You'll go through 10 rounds of 5-minute conversations with founders who could be a real fit.
After each round, you mark yes or no on the people you met.
When it's a mutual yes, we make the intro.
This one's built for solo founders looking for a co-founder, operators with the itch to build somethi",,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,18
ECO-jggg3713,ecosystem-luma,NYCW Founder & Investor Happy Hour,2026-09-22,17:00–19:00,America/New_York,Midtown South (obfuscated),,,Daniel Kriozere et al.,,https://luma.com/jggg3713,Luma public search (query: founders),founder/investor mix,strong,6,founder/investor mix,,Not stated (unverified),Free (listed ticket),Host approval required; eligibility not independently established.,Waitlist; approval required (Luma primary page),2026-09-10T22:13:01.474475+00:00,8,Strong-qualified,Registration status/eligibility not fully verified.,jggg3713,"Join Venture For ClimateTech and ClimateTech Expertise Network during NY Climate Week for an evening of drinks, food, and connection with the people building, funding, and supporting the future of climate technology.
This happy hour is an opportunity for Venture For ClimateTech founders, alumni, investors, partners, and members of our broader community to get together, catch your breath, and meet up with new and familiar faces across the climate tech ecosystem.What to expect:
🍸 Drinks and food
🤝 Founders, investors, and climate tech community members
💡 Casual conversations and new connections
",connect; drinks; network,ecosystem-primary (Luma structured event data independently verified 2026-09-10),yes,19
CW-0484,official-838,The Power Gap Panel & Reception,2026-09-23,04:00pm-07:00pm,America/New_York (assumed; NYC listing),,,,Orrick & B Capital,https://www.climateweeknyc.org/event-search/the-power-gap-panel-reception?hsLang=en,https://respond.orrick.com/v/7duopqj3,climateweeknyc.org/event-search (official),In-person,strong,6,energy / grid / power markets; climate finance / investment; software / data / AI infrastructure,,Not stated on official listing (unverified),unknown,Private event on official directory; eligibility not inferred,"Registration availability not observed; Private event (official page, 2026-09-10)",2026-09-10 (this pass),8,Strong-qualified,Registration status/price/eligibility not verified.,the-power-gap-panel-reception,"04:00pm - 07:00pm, Wednesday, September 23, 2026 Private event Register now As power demand accelerates and grid capacity comes under increasing strain, our discussion will explore the scarcity challenges facing today's energy systems and the emerging technologies poised to address them, featuring perspectives from leaders in nuclear energy and space-based power solutions.",,primary-page (official description parsed 2026-09-10),yes,20
