artifact_category,artifact_path,row_class_or_scope,count,disposition,target_use_case,rationale,astra_action
Company Research (Corrected),paul-company-research-updated/candidate-universe-status.csv,Unresolved Candidate Names,116,DROP,Neither,Raw unprofiled text strings without funding headcount or geographic data. Better to generate fresh pipeline from VC portfolios.,Do not spend cycles enriching. Replace with warm portfolio lists from Chicago Ventures and GTM Fund.
Company Research (Corrected),paul-company-research-updated/entity-resolution-audit.csv,Identity Audit Table (Crux Alliance vs Crux Climate Voltera Scale AI Google),4,KEEP,Operational Governance,Essential documentation preventing regression of resolved identity conflations.,Preserve as audit standard in handoff documentation.
Company Research (Corrected),paul-company-research-updated/company-event-relationships.csv,Company-to-Event Cross-Reference Table,67,RESHAPE,Use Case 2 (Climate Week),Shows which companies are hosting or speaking. Useful for Paul's on-the-ground event navigation not for CRO lead scoring.,Repurpose as an event preparation cheat sheet for Paul's meetings.
Company Research (Corrected),paul-company-research-updated/prospect-ranking.csv & prospects-only.csv,Ranked Prospect Scorecards (0–100 rubric),26,DROP,Neither,Scores companies on their relevance to buying climate software. Entirely obsolete for fractional CRO client scoring.,Retire this ranking table; replace with the 6-test Fractional CRO ICP scorecard.
Climate Week Networking,paul-climate-week-outputs/networking/ranked-top10.csv,Ranked Top 10 Priority Events,10,RESHAPE,Use Case 2 (Climate Week),High-signal events (Greentown Labs Showcase Climate Capital Summit Collab Fund Demo Series) but ranked under general networking rubric.,Re-rank around Seed to A founder and investor density; highlight admission status (open vs waitlist vs approval required).
Climate Week Networking,paul-climate-week-outputs/networking/ranked-top20.csv,Ranked Top 20 Events (Next 10),10,RESHAPE,Use Case 2 (Climate Week),Mix of high-value showcases (Newlab Venture for ClimateTech Founder Speed Matching) and low-fit policy panels (UN Global Compact).,Promote founder-matching and showcase events; demote corporate policy panels to secondary.
Climate Week Networking,paul-climate-week-outputs/networking/qualified-climate-tech-networking-longlist.csv,Qualified Networking Longlist (99 events),99,RESHAPE,Use Case 2 (Climate Week),95 core week + 4 adjacent events. Verified dates and locations. Strong baseline of climate week activity but needs operator stage tagging.,Apply Seed to A Founder/VC Density tag; group into daily calendar blocks (Sep 20–27).
Climate Week Networking,paul-climate-week-outputs/networking/excluded-from-qualified.csv,Founder & Operator Networking Events (Excluded as General Tech),6,RESHAPE,Use Case 1 & Use Case 2,Wrongly excluded for not being climate-only: includes Founders Funders & Fractionals NYC Founders & Operators Breakfast NYC Founders Club.,Reclaim and restore these events into Paul's Climate Week schedule as prime CRO networking opportunities.
Climate Week Networking,paul-climate-week-outputs/networking/excluded-from-qualified.csv,Community / Cultural / Library Workshops,11,DROP,Neither,Upcycling workshops public library digital labs film narrative summits. Correctly excluded.,Confirm permanent exclusion; do not reopen.
Climate Week Networking,paul-climate-week-outputs/networking/candidate-pending-verification.csv,High-Value VC/Founder Candidate Events,~25,RESHAPE,Use Case 2 (Climate Week),Top-tier founder events left in pending (e.g. Venture Climate Alliance Scaling Playbook Greentown From Lab to Scale Climate Investment When AI Meets Physical World).,Extract and verify admission links for the top 10 VC/founder events in this file.
Climate Week Networking,paul-climate-week-outputs/networking/candidate-pending-verification.csv,Institutional & Academic Pending Events,~89,DROP,Neither,University alumni panels UN side-sessions and municipal forums with low founder/commercial concentration.,Deprioritize; do not spend presentation space on unverified academic/institutional sessions.
Climate Week Networking,paul-climate-week-outputs/networking/recommendations-and-itinerary.md,Existing Daily Itinerary & Recommendations,1,RESHAPE,Use Case 2 (Climate Week),Good operational structure but schedule incorporates corporate policy events instead of pure founder/VC interactions.,Restructure into an executive stage-filtered Climate Week Master Calendar for Paul.
Climate Week Networking,paul-climate-week-outputs/source-inventory/official838.csv,Official Climate Week Event Inventory (838 events),838,RESHAPE,Use Case 2 (Discovery Baseline),Unfiltered raw inventory of all official submissions. 80%+ are corporate marketing NGO panels or closed diplomatic meetings.,Do not dump 838 events. Retain as a searchable lookup index only.
Provisional Company Research,paul-climate-week-outputs/company-research-provisional/HISTORICAL-UNCORRECTED-prospect-ranking.md,Uncorrected Historical Ranking Report,1,DROP,Neither,Contains the confirmed Crux Alliance / Crux Climate conflation and flawed rubric.,Permanently retired; must never be reopened or cited by Astra.
